,mean,std,p5,p95,max
rms,1.0,6.409875621278546e-17,0.9999999999999999,1.0,1.0000000000000002
peak,3.434265480504682,0.35742218486479255,2.9367986423926005,4.068831953189048,4.764663718035851
peak_to_peak,6.5363986354337875,0.5682667966468589,5.6866897859230345,7.462928792275142,9.309501444571554
crest_factor,3.434265480504682,0.35742218486479255,2.9367986423926005,4.068831953189048,4.764663718035851
kurtosis,-0.1014233564795814,0.16858549352533725,-0.3808038747524968,0.1616940150256787,0.38292305556066886
skewness,0.003488780461448944,0.06014589853461582,-0.1039630655319806,0.09268269393315846,0.1581321595870741
form_factor,1.2471823229057766,0.011023639140130315,1.2279526640543765,1.2641588041449712,1.2774101582649462
impulse_factor,4.2852717560477425,0.46759853354528763,3.630622942779309,5.092240499481138,6.0306979937871645
margin_factor,5.045613482385046,0.5628367489288721,4.232432229733755,5.975090796514971,7.138283491541941
variance,1.0,1.2276823494031778e-16,0.9999999999999998,1.0000000000000002,1.0000000000000004
mean,1.2966172919928686e-18,1.8804678923455362e-17,-2.933851078745775e-17,3.350184712980209e-17,6.418476861114186e-17
std,1.0,6.377088318687455e-17,0.9999999999999999,1.0,1.0000000000000002
